sensor_id,x_mm,y_mm
1,63.743,247.982
2,55.219,247.921
3,59.875,247.916
4,63.398,244.2
5,55.963,243.977
6,60.038,243.966
7,46.374,242.115
8,42.398,241.975
9,38.116,241.791
10,83.752,240.73
11,79.373,240.619
12,62.702,240.525
13,74.858,240.481
14,57.018,240.397
15,60.048,240.311
16,46.357,238.351
17,42.574,238.108
18,39.03,238.019
19,62.701,237.292
20,60.102,237.093
21,83.424,237.003
22,56.948,236.995
23,79.636,236.656
24,75.843,236.378
25,39.952,234.813
26,45.451,234.661
27,42.652,234.652
28,82.362,233.081
29,79.846,233.057
30,76.735,232.977
31,42.628,231.36
32,44.962,231.359
33,40.106,231.23
34,79.893,229.76
35,82.444,229.709
36,76.716,229.487
37,60.437,222.004
38,28.647,220.048
39,25.337,219.96
40,21.487,219.598
41,28.601,216.433
42,25.382,216.179
43,21.911,216.065
44,43.288,216.037
45,80.35,215.357
46,27.965,212.526
47,25.599,212.359
48,22.635,212.259
49,60.905,211.587
50,27.849,209.258
51,25.56,209.251
52,22.948,209.197
53,80.787,205.98
54,43.566,205.877
55,61.428,200.663
56,26.26,197.97
57,81.035,195.734
58,43.706,195.258
59,26.328,190.362
60,61.792,188.916
61,81.335,185.253
62,43.918,184.954
63,26.728,183.814
64,126.464,180.798
65,62.119,178.734
66,131.164,177.969
67,26.89,177.23
68,44.078,176.978
69,124.499,176.777
70,81.649,176.508
71,135.424,174.956
72,129.21,173.962
73,122.646,173.267
74,61.927,172.317
75,133.615,171.46
76,81.413,171.249
77,27.363,170.162
78,126.908,170.05
79,44.611,169.965
80,120.535,169.633
81,131.331,167.534
82,27.631,166.547
83,124.964,166.473
84,129.192,163.353
85,58.662,158.771
86,63.105,158.654
87,53.936,158.357
88,67.657,158.162
89,119.278,157.556
90,49.42,157.497
91,72.379,156.987
92,45.088,155.987
93,40.695,153.824
94,116.944,153.751
95,37.031,151.449
96,114.626,149.895
97,33.161,148.41
98,111.899,145.928
99,30.295,144.943
100,63.316,142.488
101,67.803,142.281
102,58.429,142.269
103,109.155,142.096
104,54.085,141.596
105,72.916,141.417
106,49.93,140.468
107,80.712,139.491
108,106.473,139.031
109,45.939,139.004
110,42.04,136.942
111,87.327,136.762
112,38.347,134.397
113,93.509,134.094
114,99.544,131.582
115,34.764,131.415
116,105.465,129.117
117,31.898,127.859
118,68.002,127.499
119,63.309,127.404
120,58.933,127.237
121,72.91,126.953
122,54.502,126.506
123,78.203,125.906
124,50.539,125.279
125,82.889,124.421
126,46.904,124.179
127,87.427,122.994
128,42.976,122.241
129,91.471,121.768
130,95.874,120.114
131,39.303,119.836
132,100.735,118.745
133,35.787,117.032
134,63.3,115.281
135,67.594,115.2
136,59.238,114.948
137,72.322,114.585
138,55.111,114.218
139,76.891,113.516
140,51.787,112.818
141,80.978,112.388
142,48.655,111.531
143,84.998,111.019
144,89.524,110.301
145,45.687,110.048
146,94.0,109.274
147,98.643,108.011
148,42.386,107.677
149,39.475,105.686
150,67.743,101.771
151,64.4,101.444
152,72.074,101.332
153,60.611,101.129
154,76.508,101.073
155,56.926,100.693
156,81.155,100.639
157,53.764,100.131
158,85.429,99.917
159,51.135,99.359
160,90.093,99.197
161,48.272,98.585
162,95.188,98.249
163,45.684,98.064
164,42.988,97.553
165,40.307,97.035
